,date,permno,ret,prc,shrout
3182237,2003-04-30,10107,0.05576210096478462,25.559999465942383,10736261.0
3191135,2003-05-30,10107,-0.03716740384697914,24.610000610351562,10736261.0
3200309,2003-06-30,10107,0.04185285419225693,25.639999389648438,10718000.0
3207751,2003-07-31,10107,0.030031219124794006,26.40999984741211,10718000.0
3208097,2003-08-29,10107,0.004165112040936947,26.520000457763672,10813985.0
3220874,2003-09-30,10107,0.04826541244983673,27.799999237060547,10805000.0
3226241,2003-10-31,10107,-0.05395682901144028,26.139999389648438,10812469.0
3234928,2003-11-28,10107,-0.01644989661872387,25.709999084472656,10812469.0
3239419,2003-12-31,10107,0.06456638872623444,27.3700008392334,10789000.0
3244172,2004-01-30,10107,0.01023013424128294,27.649999618530273,10794393.0
3253346,2004-02-27,10107,-0.04050629213452339,26.530000686645508,10794393.0
3260150,2004-03-31,10107,-0.06030909717082977,24.93000030517578,10777000.0
3268402,2004-04-30,10107,0.04813472926616669,26.1299991607666,10794693.0
3276616,2004-05-28,10107,0.0038270335644483566,26.229999542236328,10794693.0
3278067,2004-06-30,10107,0.08882958441972733,28.559999465942383,10862000.0
3285938,2004-07-30,10107,-0.0024509697686880827,28.489999771118164,10862000.0
3297083,2004-08-31,10107,-0.038961056619882584,27.299999237060547,10872705.0
3304258,2004-09-30,10107,0.012820526957511902,27.649999618530273,10865000.0
3306121,2004-10-29,10107,0.011573226191103458,27.969999313354492,10871590.0
3316085,2004-11-30,10107,0.06864498555660248,26.809999465942383,10872705.0
3322125,2004-12-31,10107,-0.0033569622319191694,26.719999313354492,10880222.0
3329610,2005-01-31,10107,-0.016467014327645302,26.280000686645508,10880222.0
3336195,2005-02-28,10107,-0.039573851972818375,25.15999984741211,10880222.0
3345566,2005-03-31,10107,-0.039348162710666656,24.170000076293945,10804353.0
3348138,2005-04-29,10107,0.04675213620066643,25.299999237060547,10804353.0
3356602,2005-05-31,10107,0.02292490191757679,25.799999237060547,10804353.0
3366993,2005-06-30,10107,-0.037209268659353256,24.84000015258789,10710000.0
3374252,2005-07-29,10107,0.030998408794403076,25.610000610351562,10710000.0
3380615,2005-08-31,10107,0.07223735004663467,27.3799991607666,10712706.0
3383172,2005-09-30,10107,-0.060262951999902725,25.729999542236328,10644674.0
3390753,2005-10-31,10107,-0.0011659066658467054,25.700000762939453,10644674.0
